Time,X,Y
0,20568.25871,558091.6094
35,23359.13162,571381.3683
54,161219.5213,535257.1296
72,240388.3338,471445.2111
87,307580.7839,437702.4287
92,384627.3763,355560.5722
103,455262.9916,269417.1232
114,384627.3763,162665.9711
135,515916.1214,126442.192
160,573918.2438,85106.22188
170,629395.1441,64333.46637
200,727200.33221,21151.13065
209,796516.1804,37291.41058
230,805739.9267,42249.22892
